msg,clk
Program Started at ,2019-10-02 18:51:39
"
>> CLOCK: Raspberry Pi 3b+ 	 ",2019-10-02 18:51:39
>> CLOCK: DS1307 		,2019-10-02 18:51:39
"
>> CLOCK: Raspberry Pi 3b+ 	 ",2019-10-02 18:51:40
>> CLOCK: DS1307 		,2019-10-02 18:51:40
"
>> CLOCK: Raspberry Pi 3b+ 	 ",2019-10-02 18:51:41
>> CLOCK: DS1307 		,2019-10-02 18:51:41
"
>> CLOCK: Raspberry Pi 3b+ 	 ",2019-10-02 18:51:42
>> CLOCK: DS1307 		,2019-10-02 18:51:42
"
>> CLOCK: Raspberry Pi 3b+ 	 ",2019-10-02 18:51:43
>> CLOCK: DS1307 		,2019-10-02 18:51:43
"
>> CLOCK: Raspberry Pi 3b+ 	 ",2019-10-02 18:51:44
>> CLOCK: DS1307 		,2019-10-02 18:51:44
"
>> CLOCK: Raspberry Pi 3b+ 	 ",2019-10-02 18:51:45
>> CLOCK: DS1307 		,2019-10-02 18:51:45
"
>> CLOCK: Raspberry Pi 3b+ 	 ",2019-10-02 18:51:46
>> CLOCK: DS1307 		,2019-10-02 18:51:46
